Clinics,Number,Location
Radiology at Parnassus – Main Hospital,"['(415) 353-2573', '(415) 353-1968', '(415) 353-1300']",San Francisco
Radiology at Parnassus – Medical Building 1,(415) 353-3900,San Francisco
Radiology at Post Street,"['(415) 885-3771', '(415) 353-2573']",San Francisco
Radiology at the Orthopaedic Institute,(415) 353-2573,San Francisco
Radiology at the Women's Health Center,(415) 353-3900,San Francisco
Railyard Urgent Care,(505) 501-7791,Louisiana
Rapid Urgent Care Covington,(985) 875-0077,Florida
Rapid Urgent Care Mandeville,(985) 674-4464,Florida
Rapid Urgent Care Metairie,(504) 218-8959,Florida
Rapid Urgent Care Slidell,(985) 326-8283,Florida
Redwood Shores Specialty Care Clinic,(415) 476-7877,Redwood City
Retina and Vitreous Clinic,(415) 353-2020,San Francisco
Rheumatoid Arthritis Clinic,(415) 353-2497,San Francisco
Rheumatology Clinic,(415) 353-2497,San Francisco
Rio Rancho,(505) 395-5520,Louisiana
Rivers Bend Urgent Care,(513) 677-9117,California
Rivers Bend Urgent Care,(513) 677-9117,Oregon
RMCHCS Urgent Care Clinic,(505) 863-2273,Louisiana
RMM Medical Corp,(917) 302-3801,Wyoming
Rula Health - Oregon,(323) 676-1233,Mississippi
Rula Health - Pennsylvania,(323) 676-1233,Wyoming
RunSafe Clinic,(415) 514-6077,San Francisco
Salivary Gland Surgery Center at Mission Bay,(415) 885-7528,San Francisco
Salivary Gland Surgery Center at Mount Zion,(415) 353-2757,San Francisco
San Juan Regional Medical Urgent Care,(505) 609-2000,Louisiana
San Mateo Primary and Specialty Care,(415) 502-8950,San Mateo
Santa Fe,(505) 438-9402,Louisiana
Sarcoma Program,(415) 502-1622,San Francisco
Scleroderma Clinic,(415) 353-4407,San Francisco
Screening & Acute Care Clinic,(415) 353-2602,San Francisco
Sellwood-Moreland,(503) 608-3087,Mississippi
Sharonville,(513) 771-2233,California
Sharonville,(513) 771-2233,Oregon
Sidney,(937) 492-1961,Nebraska
Sidney,(937) 492-1961,Oregon
Silver Health Care-Deming,(575) 544-4440,Louisiana
Silver Health Care-Silver City,(575) 538-2981,Louisiana
Sinus Center,(415) 353-2757,San Francisco
Sjögren's Syndrome Clinic,(415) 476-2045,San Francisco
Skeletal Health Service,(415) 353-2808,San Francisco
Sleep Disorders Center,(415) 885-7886,San Francisco
Snoring and Sleep Apnea Surgery Clinic,(415) 353-2757,San Francisco
Sol Silverman Oral Medicine Clinic,(415) 476-2045,San Francisco
Spine Center,(866) 817-7463,San Francisco
Sports Concussion Program,(415) 353-1915,San Francisco
Sports Medicine Center,(415) 985-5200,Berkeley
Springdale,(513) 815-3852,California
Springdale,(513) 815-3852,Oregon
Springfield North,(937) 342-9520,California
Springfield North,(937) 342-9520,Oregon
Springfield South,(937) 322-6222,California
Springfield South,(937) 322-6222,Oregon
St. Elizabeth Physicians Urgent Care Crittenden,(859) 903-0268,California
St. Elizabeth Physicians Urgent Care Florence,(859) 647-2900,California
St. Elizabeth Physicians Urgent Care Florence,(859) 647-2900,Oregon
Stroke Clinic,(415) 353-8897,San Francisco
Swan Island,(503) 283-0013,Mississippi
Taos Urgent Care,(575) 758-1414,Louisiana
Temple Readycare Port Richmond,(215) 926-3535,Wyoming
The Urgent Care Laplace,(985) 359-2273,Florida
The Urgent Care Westbank,(504) 393-2273,Florida
Thoracic Surgery and Oncology Clinic,(415) 885-3882,San Francisco
Thyroid and Parathyroid Surgery Clinic,(415) 885-7528,San Francisco
Thyroid Clinic,(415) 353-2350,San Francisco
Total Pancreatectomy – Islet Auto-Transplant (TP-IAT) Clinic,(415) 353-1473,San Francisco
Total Urgent Care,(985) 632-1820,Florida
Trigeminal Neuralgia Clinic,(415) 353-2273,San Francisco
Troy,(937) 335-3100,California
Troy,(937) 335-3100,Nebraska
Troy,(937) 335-3100,Oregon
U.S. Healthworks Medical Group,(937) 746-8795,California
U.S. Healthworks Medical Group,(937) 293-7770,California
U.S. Healthworks Medical Group,(937) 237-6231,California
U.S. Healthworks Medical Group,(574) 537-1709,Nebraska
U.S. Healthworks Medical Group,(574) 206-8010,Nebraska
U.S. Healthworks Medical Group,(765) 288-8800,Nebraska
U.S. Healthworks Medical Group,(765) 751-3300,Nebraska
U.S. Healthworks Medical Group,(574) 277-7600,Nebraska
U.S. Healthworks Medical Group,(419) 865-4448,Nebraska
U.S. Healthworks Medical Group,(317) 845-5425,Nebraska
U.S. Healthworks Medical Group,(937) 293-7770,Oregon
U.S. Healthworks Medical Group,(937) 237-6231,Oregon
U.S. Healthworks Medical Group,(937) 746-8795,Oregon
U.S. Healthworks Medical Group,(614) 850-1476,Oregon
UCSF – Washington Cancer Center,(510) 248-1600,Fremont
UCSF-John Muir Health Cancer Center in Berkeley,(510) 420-8000,Berkeley
UCSF-John Muir Health Cancer Center in Walnut Creek,"['(925) 296-7390', '(925) 933-0984', '(925) 937-7740', '(925) 296-7333', '(925) 692-5600', '(925) 692-5600', '(925) 692-5600']",Walnut Creek
ultiMED Urgent Care Red River,(575) 754-1773,Louisiana
ultiMED Urgent Care Rio Rancho,(505) 771-9833,Louisiana
ultiMED Urgent Care Santa Fe,(505) 989-8707,Louisiana
UMD Urgent Medical Care Montague,(718) 522-3383,Alabama
UMD Urgent Medical Care Montague,(718) 522-3383,Alaska
UMD Urgent Medical Care Montague,(718) 522-3383,Arizona
UMD Urgent Medical Care Montague,(718) 522-3383,Arkansas
UMD Urgent Medical Care Montague,(718) 522-3383,Colorado
UMD Urgent Medical Care Montague,(718) 522-3383,Connecticut
UMD Urgent Medical Care Montague,(718) 522-3383,Delaware
UMD Urgent Medical Care Montague,(718) 522-3383,Georgia
UMD Urgent Medical Care Montague,(718) 522-3383,Hawaii
UMD Urgent Medical Care Montague,(718) 522-3383,Idaho
UMD Urgent Medical Care Montague,(718) 522-3383,Illinois
UMD Urgent Medical Care Montague,(718) 522-3383,Indiana
UMD Urgent Medical Care Montague,(718) 522-3383,Iowa
UMD Urgent Medical Care Montague,(718) 522-3383,Kansas
UMD Urgent Medical Care Montague,(718) 522-3383,Kentucky
UMD Urgent Medical Care Montague,(718) 522-3383,Maine
UMD Urgent Medical Care Montague,(718) 522-3383,Maryland
UMD Urgent Medical Care Montague,(718) 522-3383,Massachusetts
UMD Urgent Medical Care Montague,(718) 522-3383,Michigan
UMD Urgent Medical Care Montague,(718) 522-3383,Minnesota
UMD Urgent Medical Care Montague,(718) 522-3383,Missouri
UMD Urgent Medical Care Montague,(718) 522-3383,Montana
UMD Urgent Medical Care Montague,(718) 522-3383,Nevada
UMD Urgent Medical Care Montague,(718) 522-3383,New Hampshire
UMD Urgent Medical Care Montague,(718) 522-3383,New Jersey
UMD Urgent Medical Care Montague,(718) 522-3383,New Mexico
UMD Urgent Medical Care Montague,(718) 522-3383,New York
UMD Urgent Medical Care Montague,(718) 522-3383,North Carolina
UMD Urgent Medical Care Montague,(718) 522-3383,North Dakota
UMD Urgent Medical Care Montague,(718) 522-3383,Ohio
UMD Urgent Medical Care Montague,(718) 522-3383,Oklahoma
UMD Urgent Medical Care Montague,(718) 522-3383,Pennsylvania
UMD Urgent Medical Care Montague,(718) 522-3383,Rhode Island
UMD Urgent Medical Care Montague,(718) 522-3383,South Carolina
UMD Urgent Medical Care Montague,(718) 522-3383,South Dakota
UMD Urgent Medical Care Montague,(718) 522-3383,Tennessee
UMD Urgent Medical Care Montague,(718) 522-3383,Texas
UMD Urgent Medical Care Montague,(718) 522-3383,Utah
UMD Urgent Medical Care Montague,(718) 522-3383,Vermont
UMD Urgent Medical Care Montague,(718) 522-3383,Virginia
UMD Urgent Medical Care Montague,(718) 522-3383,Washington
UMD Urgent Medical Care Montague,(718) 522-3383,West Virginia
UMD Urgent Medical Care Montague,(718) 522-3383,Wisconsin
UMD Urgent Medical Care Union Square,(212) 242-4333,Alabama
UMD Urgent Medical Care Union Square,(212) 242-4333,Alaska
UMD Urgent Medical Care Union Square,(212) 242-4333,Arizona
UMD Urgent Medical Care Union Square,(212) 242-4333,Arkansas
UMD Urgent Medical Care Union Square,(212) 242-4333,Colorado
UMD Urgent Medical Care Union Square,(212) 242-4333,Connecticut
UMD Urgent Medical Care Union Square,(212) 242-4333,Delaware
UMD Urgent Medical Care Union Square,(212) 242-4333,Georgia
UMD Urgent Medical Care Union Square,(212) 242-4333,Hawaii
UMD Urgent Medical Care Union Square,(212) 242-4333,Idaho
UMD Urgent Medical Care Union Square,(212) 242-4333,Illinois
UMD Urgent Medical Care Union Square,(212) 242-4333,Indiana
UMD Urgent Medical Care Union Square,(212) 242-4333,Iowa
UMD Urgent Medical Care Union Square,(212) 242-4333,Kansas
UMD Urgent Medical Care Union Square,(212) 242-4333,Kentucky
UMD Urgent Medical Care Union Square,(212) 242-4333,Maine
UMD Urgent Medical Care Union Square,(212) 242-4333,Maryland
UMD Urgent Medical Care Union Square,(212) 242-4333,Massachusetts
UMD Urgent Medical Care Union Square,(212) 242-4333,Michigan
UMD Urgent Medical Care Union Square,(212) 242-4333,Minnesota
UMD Urgent Medical Care Union Square,(212) 242-4333,Missouri
UMD Urgent Medical Care Union Square,(212) 242-4333,Montana
UMD Urgent Medical Care Union Square,(212) 242-4333,Nevada
UMD Urgent Medical Care Union Square,(212) 242-4333,New Hampshire
UMD Urgent Medical Care Union Square,(212) 242-4333,New Jersey
UMD Urgent Medical Care Union Square,(212) 242-4333,New Mexico
UMD Urgent Medical Care Union Square,(212) 242-4333,New York
UMD Urgent Medical Care Union Square,(212) 242-4333,North Carolina
UMD Urgent Medical Care Union Square,(212) 242-4333,North Dakota
UMD Urgent Medical Care Union Square,(212) 242-4333,Ohio
UMD Urgent Medical Care Union Square,(212) 242-4333,Oklahoma
UMD Urgent Medical Care Union Square,(212) 242-4333,Pennsylvania
UMD Urgent Medical Care Union Square,(212) 242-4333,Rhode Island
UMD Urgent Medical Care Union Square,(212) 242-4333,South Carolina
UMD Urgent Medical Care Union Square,(212) 242-4333,South Dakota
UMD Urgent Medical Care Union Square,(212) 242-4333,Tennessee
UMD Urgent Medical Care Union Square,(212) 242-4333,Texas
UMD Urgent Medical Care Union Square,(212) 242-4333,Utah
UMD Urgent Medical Care Union Square,(212) 242-4333,Vermont
UMD Urgent Medical Care Union Square,(212) 242-4333,Virginia
UMD Urgent Medical Care Union Square,(212) 242-4333,Washington
UMD Urgent Medical Care Union Square,(212) 242-4333,West Virginia
UMD Urgent Medical Care Union Square,(212) 242-4333,Wisconsin
UMD Urgent Medical Care Williamsburg,(347) 987-4144,Alabama
UMD Urgent Medical Care Williamsburg,(347) 987-4144,Alaska
UMD Urgent Medical Care Williamsburg,(347) 987-4144,Arizona
UMD Urgent Medical Care Williamsburg,(347) 987-4144,Arkansas
UMD Urgent Medical Care Williamsburg,(347) 987-4144,Colorado
UMD Urgent Medical Care Williamsburg,(347) 987-4144,Connecticut
UMD Urgent Medical Care Williamsburg,(347) 987-4144,Delaware
UMD Urgent Medical Care Williamsburg,(347) 987-4144,Georgia
UMD Urgent Medical Care Williamsburg,(347) 987-4144,Hawaii
UMD Urgent Medical Care Williamsburg,(347) 987-4144,Idaho
UMD Urgent Medical Care Williamsburg,(347) 987-4144,Illinois
UMD Urgent Medical Care Williamsburg,(347) 987-4144,Indiana
UMD Urgent Medical Care Williamsburg,(347) 987-4144,Iowa
UMD Urgent Medical Care Williamsburg,(347) 987-4144,Kansas
UMD Urgent Medical Care Williamsburg,(347) 987-4144,Kentucky
UMD Urgent Medical Care Williamsburg,(347) 987-4144,Maine
UMD Urgent Medical Care Williamsburg,(347) 987-4144,Maryland
UMD Urgent Medical Care Williamsburg,(347) 987-4144,Massachusetts
UMD Urgent Medical Care Williamsburg,(347) 987-4144,Michigan
UMD Urgent Medical Care Williamsburg,(347) 987-4144,Minnesota
UMD Urgent Medical Care Williamsburg,(347) 987-4144,Missouri
UMD Urgent Medical Care Williamsburg,(347) 987-4144,Montana
UMD Urgent Medical Care Williamsburg,(347) 987-4144,Nevada
UMD Urgent Medical Care Williamsburg,(347) 987-4144,New Hampshire
UMD Urgent Medical Care Williamsburg,(347) 987-4144,New Jersey
UMD Urgent Medical Care Williamsburg,(347) 987-4144,New Mexico
UMD Urgent Medical Care Williamsburg,(347) 987-4144,New York
UMD Urgent Medical Care Williamsburg,(347) 987-4144,North Carolina
UMD Urgent Medical Care Williamsburg,(347) 987-4144,North Dakota
UMD Urgent Medical Care Williamsburg,(347) 987-4144,Ohio
UMD Urgent Medical Care Williamsburg,(347) 987-4144,Oklahoma
UMD Urgent Medical Care Williamsburg,(347) 987-4144,Pennsylvania
UMD Urgent Medical Care Williamsburg,(347) 987-4144,Rhode Island
UMD Urgent Medical Care Williamsburg,(347) 987-4144,South Carolina
UMD Urgent Medical Care Williamsburg,(347) 987-4144,South Dakota
UMD Urgent Medical Care Williamsburg,(347) 987-4144,Tennessee
UMD Urgent Medical Care Williamsburg,(347) 987-4144,Texas
UMD Urgent Medical Care Williamsburg,(347) 987-4144,Utah
UMD Urgent Medical Care Williamsburg,(347) 987-4144,Vermont
UMD Urgent Medical Care Williamsburg,(347) 987-4144,Virginia
UMD Urgent Medical Care Williamsburg,(347) 987-4144,Washington
UMD Urgent Medical Care Williamsburg,(347) 987-4144,West Virginia
UMD Urgent Medical Care Williamsburg,(347) 987-4144,Wisconsin
Upper Valley Urgent Care Center,(915) 584-8882,Louisiana
Urgent Care Beaverton Raleigh Hills by Providence Express Care at Walgreens,(888) 227-3312,Mississippi
Urgent Care Bethany by Providence Express Care at Walgreens,(888) 227-3312,Mississippi
Urgent Care Interstate by Providence Express Care,(888) 227-3312,Mississippi
Urgent Care North Lombard by Providence Express Care,(888) 227-3312,Mississippi
Urgent Care Pearl District by Providence Express Care,(888) 227-3312,Mississippi
Urinary Stone Center,(415) 353-2200,San Francisco
Urologic Surgical Oncology Clinic,(415) 353-7171,San Francisco
Urology Practice,(415) 353-2200,San Francisco
Vascular and Endovascular Surgery Clinic,(415) 353-2357,San Francisco
Vascular Laboratory,(415) 353-1286,San Francisco
Vasculitis Clinic,(415) 353-2497,San Francisco
Virtua Express Care Westmont,(856) 946-5180,Wyoming
Viruela símica en UCSF,(415) 502-3566,San Francisco
Vision Optical Clinic,(415) 476-3100,San Francisco
Voice and Swallowing Center,(415) 885-7700,San Francisco
Vybe Urgent Care Center City,(215) 999-1420,Wyoming
Vybe Urgent Care Port Richmond/Fishtown,(215) 999-3356,Wyoming
Vybe Urgent Care Roxborough,(215) 999-6060,Wyoming
Vybe Urgent Care South Philadelphia,(215) 999-1217,Wyoming
Weight Management Program,(415) 353-7999,San Francisco
Women’s Center for Bladder & Pelvic Health,(415) 353-2200,San Francisco
Women's Health Primary Care Clinic,"['(415) 885-7788', '(844) 727-8273']",San Francisco
Women's HIV Program,(415) 353-2119,San Francisco
Women's Sports Medicine Center,(415) 353-2808,San Francisco
Woodstock,(503) 608-3086,Mississippi
Worthington Urgent Care,(614) 516-0184,Oregon
Wound & Ostomy Clinic,(415) 885-3606,San Francisco
Xenia,(937) 372-6012,California
Xenia,(937) 372-6012,Oregon
